,name,rating,reviews,type,hq,old,employees
0,TCS,3.9,(50.8k Reviews),Public,"Mumbai,Maharashtra + 279 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(32.9k Reviews),Public,Dublin + 143 more,33 years old,1 Lakh+ Employees (India)
2,Cognizant,3.9,(30.2k Reviews),Private,Teaneck. New Jersey. + 100 more,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(35.4k Reviews),Public,"Mumbai,Maharashtra + 1048 more",28 years old,1 Lakh+ Employees (India)
4,HDFC Bank,4.0,(40.6k Reviews),Public,"Mumbai,Maharashtra + 1229 more",28 years old,1 Lakh+ Employees (India)
5,Wipro,3.9,(29.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 232 more",77 years old,1 Lakh+ Employees (India)
6,Infosys,3.9,(28.7k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 127 more",41 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(24.4k Reviews),Public,Paris + 80 more,55 years old,1 Lakh+ Employees (India)
8,Tech Mahindra,3.7,(22.2k Reviews),Public,"Pune,Maharashtra + 218 more",36 years old,50k-1 Lakh Employees (India)
9,Genpact,4.0,(21.4k Reviews),Public,"New York,New York + 68 more",25 years old,50k-1 Lakh Employees (India)
10,HCLTech,3.8,(18.9k Reviews),Public,Noida + 142 more,31 years old,1 Lakh+ Employees (India)
11,Amazon,4.3,(18.7k Reviews),Public,"Seattle,Washington + 392 more",28 years old,1 Lakh+ Employees (India)
12,Axis Bank,3.9,(19.4k Reviews),Public,"Mumbai,Maharashtra + 1085 more",29 years old,1 Lakh+ Employees (India)
13,IBM,4.2,(15.9k Reviews),Public,"Armonk,New York + 122 more",111 years old,1 Lakh+ Employees (India)
14,Concentrix Corpo...,4.0,(15.3k Reviews),Public,"Fremont,California + 71 more",39 years old,10k-50k Employees (India)
15,Reliance jio,4.0,(15.3k Reviews),Public,"Navi Mumbai,Maharashtra + 975 more",15 years old,50k-1 Lakh Employees (India)
16,Larsen & Toubro ...,4.1,(25.2k Reviews),Public,"Mumbai,Maharashtra + 525 more",84 years old,10k-50k Employees (India)
17,Vodafone Idea,4.2,(14k Reviews),Public,"Gandhinagar,Gujrat + 567 more",4 years old,10k-50k Employees (India)
18,HDB Financial Se...,4.0,(13.6k Reviews),Private,"Ahmedabad,Gujrat + 784 more",15 years old,1 Lakh+ Employees (India)
19,Teleperformance,3.6,(14.7k Reviews),Private,Paris + 124 more,44 years old,50k-1 Lakh Employees (India)
20,Kotak Mahindra B...,3.9,(14k Reviews),Public,"Mumbai,Maharashtra + 475 more",19 years old,50k-1 Lakh Employees (India)
21,Reliance Industr...,4.1,(44.8k Reviews),Public,"Navi Mumbai,Maharashtra + 490 more",49 years old,1 Lakh+ Employees (India)
22,Reliance Retail,4.1,(16.1k Reviews),Private,"Navi Mumbai,Maharashtra + 661 more",16 years old,1 Lakh+ Employees (India)
23,Bharti Airtel,4.1,(13.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 516 more",27 years old,10k-50k Employees (India)
24,Deloitte,4.1,(10.5k Reviews),Private,"New York,New York + 134 more",177 years old,50k-1 Lakh Employees (India)
25,Tata Motors,4.1,(12.6k Reviews),Public,"Pune,Maharashtra + 394 more",77 years old,10k-50k Employees (India)
26,BYJU'S,3.5,(12.6k Reviews),Private,"Bangalore,Karnataka + 231 more",11 years old,1k-5k Employees (India)
27,WNS,3.7,(7.1k Reviews),Private,"Mumbai,Maharashtra + 24 more",26 years old,10k-50k Employees (India)
28,Flipkart,4.2,(11.7k Reviews),Public,"Bangalore,Karnataka + 445 more",15 years old,50k-1 Lakh Employees (India)
29,Mahindra & Mahin...,3.9,(40.3k Reviews),Public,"Mumbai,Maharashtra + 410 more",77 years old,1 Lakh+ Employees (India)
0,IndusInd Bank,3.8,(6.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 559 more",28 years old,10k-50k Employees (India)
1,DXC Technology,3.9,(7.3k Reviews),Public,"Minato,Tokyo + 59 more",5 years old,10k-50k Employees (India)
2,Ernst & Young,3.8,(6.4k Reviews),Private,London + 73 more,20 years old,50k-1 Lakh Employees (India)
3,Hinduja Global S...,4.0,(6.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 74 more",22 years old,10k-50k Employees (India)
4,Maruti Suzuki,4.2,(6.1k Reviews),Public,"New Delhi,Delhi + 377 more",39 years old,10k-50k Employees (India)
5,Infosys BPM,4.0,(5.9k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",20 years old,10k-50k Employees (India),
6,HSBC,4.1,(6k Reviews),Private,"Pune,Maharashtra + 54 more",20 years old,10k-50k Employees (India)
7,IDFC FIRST Bank,4.0,(5.4k Reviews),Public,"Mumbai,Maharashtra + 401 more",4 years old,10k-50k Employees (India)
8,Ericsson,4.3,(5.5k Reviews),Private,"Stockholm,Stockholm County + 137 more",146 years old,10k-50k Employees (India)
9,Bajaj Finserv,4.0,(5.4k Reviews),Public,"Pune,Maharashtra + 667 more",15 years old,10k-50k Employees (India)
10,Conneqt Business...,3.7,(5.3k Reviews),Private,"Mumbai,Maharashtra + 164 more",20 years old,10k-50k Employees (India)
11,Startek,3.4,(5k Reviews),Public,"Mumbai,Maharashtra + 50 more",5 years old,5k-10k Employees (India)
12,Mphasis,3.8,(5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 41 more",24 years old,10k-50k Employees (India)
13,Dr. Reddy's,4.2,(5.1k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 137 more",36 years old,10k-50k Employees (India)
14,Cipla Pharmaceut...,4.1,(5k Reviews),Public,"Mumbai,Maharashtra + 189 more",87 years old,10k-50k Employees (India)
15,Sutherland Globa...,3.8,(5.2k Reviews),Private,"Pittsford,New York + 41 more",36 years old,10k-50k Employees (India)
16,Jana Small Finan...,3.8,(4.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",16 years old,10k-50k Employees (India)
17,Asian Paints,4.2,(4.9k Reviews),Public,"Mumbai,Maharashtra + 351 more",80 years old,10k-50k Employees (India)
18,Yes Bank,4.0,(4.7k Reviews),Public,"Mumbai,Maharashtra + 364 more",18 years old,10k-50k Employees (India)
19,ICICI Prudential...,4.1,(4.6k Reviews),Public,"Mumbai,Maharashtra + 402 more",22 years old,10k-50k Employees (India)
20,NTT DATA,4.0,(4.8k Reviews),Private,"Chiyoda City,Tokyo + 40 more",34 years old,10k-50k Employees (India)
21,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 309 more",6 years old,1k-5k Employees (India)
22,HCL Group,3.8,(25k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
23,HDFC Life,4.1,(5.7k Reviews),Public,"Mumbai,Maharashtra + 408 more",22 years old,10k-50k Employees (India)
24,Lupin,4.1,(4.4k Reviews),Public,"Mumbai,Maharashtra + 133 more",54 years old,10k-50k Employees (India)
25,Indian Army,4.7,(4.3k Reviews),Public,"New Delhi,Delhi + 272 more",127 years old,1 Lakh+ Employees (India)
26,EXL Service,3.9,(5.4k Reviews),Private,"New York City,New York + 30 more",23 years old,10k-50k Employees (India)
27,PwC,3.7,(4.2k Reviews),Partnership,London + 63 more,24 years old,10k-50k Employees (India)
28,L&T Infotech,3.9,(4.2k Reviews),Public,"Mumbai,Maharashtra + 77 more",26 years old,10k-50k Employees (India)
29,UltraTech Cement,4.2,(4.7k Reviews),Public,"Mumbai,Maharashtra + 343 more",39 years old,10k-50k Employees (India)
0,Home Credit Fina...,4.2,(4k Reviews),Private,Gurugram + 102 more,10 years old,5k-10k Employees (India)
1,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",22 years old,10k-50k Employees (India)
2,Bajaj Finance,4.1,(4.5k Reviews),Private,"Pune,Maharashtra + 615 more",35 years old,10k-50k Employees (India)
3,ITC,3.9,(7.5k Reviews),Public,"Kolkata,West Bengal + 238 more",47 years old,10k-50k Employees (India)
4,Paytm,3.7,(4.5k Reviews),Public,Noida + 235 more,12 years old,10k-50k Employees (India)
5,Hindustan Unilev...,4.3,(4.5k Reviews),Public,"Mumbai,Maharashtra + 358 more",89 years old,10k-50k Employees (India)
6,Ujjivan Small Fi...,4.1,(3.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 385 more",5 years old,10k-50k Employees (India)
7,KPMG,3.8,(4k Reviews),Partnership,Bengaluru/Bangalore + 56 more,35 years old,10k-50k Employees (Global)
8,Mindtree,4.1,(3.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 26 more",23 years old,10k-50k Employees (India)
9,OPPO,4.0,(3.9k Reviews),Public,"Dongguan,Guangdong + 325 more",18 years old,10k-50k Employees (India)
10,IIFL,3.9,(3.7k Reviews),Public,"Mumbai,Maharashtra + 494 more",27 years old,10k-50k Employees (India)
11,Zydus Cadila,4.2,(4.7k Reviews),Public,"Ahmedabad, India + 118 more",70 years old,10k-50k Employees (India)
12,JP Morgan Chase,4.2,(3.6k Reviews),Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India)
13,Shapoorji Pallon...,4.3,(6.9k Reviews),Private,"Mumbai,Maharashtra + 137 more",157 years old,5k-10k Employees (India)
14,Sun Pharmaceutic...,4.1,(4.1k Reviews),Public,Mumbai + 156 more,39 years old,10k-50k Employees (India)
15,Shriram Transpor...,4.2,(3.9k Reviews),Public,"Mumbai,Maharashtra + 675 more",43 years old,10k-50k Employees (India)
16,Bandhan Bank,3.9,(3.6k Reviews),Public,"Kolkata,West Bengal + 544 more",21 years old,50k-1 Lakh Employees (India)
17,Vivo,4.1,(3.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 336 more",13 years old,5k-10k Employees (India)
18,Ashok Leyland,4.1,(3.6k Reviews),Public,"Chennai,Tamil Nadu + 187 more",74 years old,10k-50k Employees (India)
19,Wells Fargo Indi...,4.2,(3.5k Reviews),Public,"San Francisco,California + 10 more",170 years old,10k-50k Employees (India)
20,Aurobindo Pharma,4.0,(3.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 51 more",36 years old,10k-50k Employees (India)
21,Mahindra & Mahin...,4.3,(5.1k Reviews),Public,"Mumbai,Maharashtra + 559 more",31 years old,10k-50k Employees (India)
22,Delhivery,4.2,(3.8k Reviews),Private,"Delhi,NCT + 472 more",11 years old,10k-50k Employees (India)
23,Apollo Hospitals,4.1,(5.6k Reviews),Public,"San Francisco,California + 166 more",39 years old,50k-1 Lakh Employees (India)
24,Hewlett-Packard ...,4.3,(3.7k Reviews),Private,"Houston,Texas + 87 more",7 years old,10k-50k Employees (India)
25,Intelenet Global...,3.7,(3.3k Reviews),Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India)
26,Siemens,4.2,(5k Reviews),Public,"Munich,Bavaria + 106 more",175 years old,10k-50k Employees (India)
27,AU Small Finance...,4.0,(4.4k Reviews),Private,"Jaipur,Rajasthan + 290 more",26 years old,10k-50k Employees (India)
28,Reliance Communi...,4.0,(4.1k Reviews),Public,"Navi Mumbai,Maharashtra + 370 more",20 years old,10k-50k Employees (India)
29,Nokia,4.2,(4.7k Reviews),Private,"Espoo,Southern Finland + 174 more",157 years old,10k-50k Employees (India)
0,eClerx,3.6,(3.3k Reviews),Public,"Mumbai,Maharashtra + 17 more",22 years old,10k-50k Employees (India)
1,Future Group,4.2,(10.4k Reviews),Private,"Mumbai,Maharashtra + 196 more",9 years old,50k-1 Lakh Employees (India)
2,Max Life Insuran...,4.2,(3.2k Reviews),JV,"Gurgaon/Gurugram,Haryana + 296 more",22 years old,10k-50k Employees (India)
3,First Source,3.9,(3.2k Reviews),Public,"Mumbai,Maharashtra + 45 more",21 years old,10k-50k Employees (India)
4,Oracle,3.9,(4k Reviews),Public,"Austin,Texas + 31 more",45 years old,50k-1 Lakh Employees (India)
5,TATA Steel,4.1,(4.9k Reviews),Public,"Mumbai,Maharashtra + 129 more",115 years old,10k-50k Employees (India)
6,JSW Steel,3.9,(3.4k Reviews),Public,"Mumbai,Maharashtra + 94 more",40 years old,10k-50k Employees (India)
7,Hexaware Technol...,3.7,(3.2k Reviews),Public,"Mumbai,Maharashtra + 31 more",32 years old,10k-50k Employees (India)
8,Hero MotoCorp,4.2,(3.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 268 more",38 years old,5k-10k Employees (India)
9,Tata Projects,4.2,(3.2k Reviews),Public,"Mumbai,Maharashtra + 199 more",43 years old,10k-50k Employees (India)
10,TVS Motor,4.1,(4.6k Reviews),Public,"Chennai,Tamil Nadu + 245 more",43 years old,10k-50k Employees (India)
11,JLL,4.3,(3.1k Reviews),Private,"Mumbai,Maharashtra + 60 more",25 years old,10k-50k Employees (India)
12,Oyo Rooms,3.5,(3.3k Reviews),Private,"Gurgaon,Haryana + 105 more",9 years old,1k-5k Employees (India)
13,Fidelity Nationa...,4.1,(3.2k Reviews),Private,"Jacksonville,Florida + 30 more",54 years old,10k-50k Employees (India)
14,Cyient,3.7,(3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 25 more",31 years old,10k-50k Employees (India)
15,Wipro BPS,3.8,(3k Reviews),Bengaluru + 36 more,22 years old,1 Lakh+ Employees (India),
16,Hyundai Motor,4.2,(4.1k Reviews),Private,Seoul + 228 more,55 years old,10k-50k Employees (India)
17,JustDial,3.5,(3k Reviews),Public,"Mumbai,Maharashtra + 132 more",26 years old,10k-50k Employees (India)
18,Quess,3.9,(9.2k Reviews),Public,Bangalore + 344 more,15 years old,10k-50k Employees (India)
19,Bosch,4.2,(6.5k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 85 more",136 years old,10k-50k Employees (India)
20,Bajaj Allianz Li...,4.1,(3k Reviews),Private,Pune + 411 more,21 years old,10k-50k Employees (India)
21,Megha Engineerin...,4.2,(2.8k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 207 more",33 years old,1k-5k Employees (India)
22,Atos Syntel,3.7,(4.6k Reviews),Private,"Troy,Michigan + 15 more",42 years old,10k-50k Employees (India)
23,Samsung,4.0,(7.7k Reviews),Public,Seoul + 355 more,84 years old,10k-50k Employees (India)
24,L&T Construction,4.2,(3.6k Reviews),Public,Chennai + 266 more,78 years old,10k-50k Employees (India)
25,Omega Healthcare,3.8,(2.7k Reviews),Private,Florida + 28 more,18 years old,5k-10k Employees (India)
26,Manappuram Finan...,4.0,(3.4k Reviews),Public,"Thrissur/Trichur,Kerala + 400 more",73 years old,10k-50k Employees (India)
27,D Mart,3.9,(2.7k Reviews),Private,"Mumbai,Maharashtra + 164 more",22 years old,10k-50k Employees (India)
28,BNY Mellon,4.2,(2.7k Reviews),Private,"New York City,New York + 10 more",18 years old,10k-50k Employees (India)
29,SBI Cards & Paym...,3.8,(2.7k Reviews),Government,"Gurgaon/Gurugram,Haryana + 246 more",24 years old,10k-50k Employees (India)
0,Viatris,4.3,(2.6k Reviews),"Canonsburg,Pennsylvania + 64 more",61 years old,10k-50k Employees (India),
1,Cummins,4.3,(3.3k Reviews),"Columbus,Indiana + 85 more",60 years old,10k-50k Employees (India),
2,Fullerton India,4.2,(2.6k Reviews),Private,Mumbai + 404 more,15 years old,10k-50k Employees (India)
3,Aditya Birla Fas...,4.3,(3.4k Reviews),Private,Mumbai + 198 more,7 years old,10k-50k Employees (India)
4,IQVIA,4.2,(2.7k Reviews),Partnership,Durham + 37 more,40 years old,10k-50k Employees (India)
5,Godrej & Boyce M...,3.9,(2.9k Reviews),Private,"Mumbai,Maharashtra + 116 more",125 years old,10k-50k Employees (India)
6,CBRE,4.3,(2.5k Reviews),Private,"Los Angeles,California + 52 more",116 years old,10k-50k Employees (India)
7,State Bank of In...,3.8,(5.1k Reviews),"Mumbai,Maharashtra + 355 more",216 years old,1 Lakh+ Employees (India),
8,UnitedHealth,4.2,(4.6k Reviews),Private,"Minnetonka,Minnesota + 12 more",45 years old,10k-50k Employees (India)
9,Nagarro,4.5,(2.6k Reviews),Private,"Munich,Bavaria + 31 more",26 years old,10k-50k Employees (India)
10,Nagarjuna Constr...,4.1,(2.6k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 188 more",24 years old,1k-5k Employees (India)
11,Equitas Small Fi...,4.2,(2.5k Reviews),Private,"Chennai,Tamil Nadu + 296 more",15 years old,10k-50k Employees (India)
12,JBM Group,4.0,(3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 74 more",39 years old,10k-50k Employees (India)
13,ICICI Lombard Ge...,3.9,(2.5k Reviews),Public,"Mumbai,Maharashtra + 202 more",21 years old,10k-50k Employees (India)
14,Amdocs,4.1,(2.4k Reviews),Private,"Chesterfield,Missouri + 11 more",40 years old,10k-50k Employees (India)
15,Royal Enfield,4.2,(2.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 243 more",121 years old,1k-5k Employees (India)
16,Ford Motor,4.5,(2.9k Reviews),Public,"Dearborn,Michigan + 106 more",119 years old,10k-50k Employees (India)
17,Bajaj Auto,4.0,(2.4k Reviews),Public,"Pune,Maharashtra + 208 more",77 years old,5k-10k Employees (India)
18,BigBasket,4.2,(2.5k Reviews),Private,"Bangalore,Karnataka + 82 more",11 years old,5k-10k Employees (India)
19,Dominos Pizza,4.1,(2.4k Reviews),Public,"Ypsilanti,Michigan + 209 more",62 years old,1k-5k Employees (India)
20,Schneider Electr...,4.2,(4k Reviews),Private,Paris + 81 more,23 years old,10k-50k Employees (India)
21,Indiamart Interm...,3.7,(2.5k Reviews),Private,"Noida,Uttar Pradesh + 107 more",26 years old,10k-50k Employees (India)
22,Bosch Global Sof...,4.2,(2.4k Reviews),Private,Gerlingen + 21 more,32 years old,10k-50k Employees (India)
23,UST,4.0,(2.5k Reviews),Private,"Aliso Viejo,California + 31 more",21 years old,10k-50k Employees (India)
24,Tata Communicati...,4.1,(3.2k Reviews),Public,"Mumbai,Maharashtra + 90 more",36 years old,10k-50k Employees (India)
25,Ecom Express,4.2,(2.4k Reviews),Private,"Gurgaon,Haryana + 489 more",10 years old,10k-50k Employees (India)
26,Axis Direct,4.0,(2.4k Reviews),Private,"San Mateo,California + 265 more",11 years old,1k-5k Employees (India)
27,Dell,4.2,(3.8k Reviews),Private,"Round Rock,Texas + 82 more",38 years old,10k-50k Employees (India)
28,Muthoot Fincorp,4.0,(2.4k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 433 more",135 years old,10k-50k Employees (India)
29,Wipro Infotech,4.0,(2.4k Reviews),Private,Bangalore + 114 more,77 years old,1 Lakh+ Employees (Global)
0,Wipro Consumer ...,3.9,(3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 72 more",77 years old,1k-5k Employees (India)
1,John Deere,4.4,(2.6k Reviews),Private,"Moline,Illinois + 98 more",21 years old,5k-10k Employees (India)
2,SBI Life Insuran...,3.8,(2.3k Reviews),Government,"Mumbai,Maharashtra + 426 more",21 years old,10k-50k Employees (India)
3,Whitehat jr,3.8,(2.3k Reviews),Private,"Mumbai,Maharashtra + 43 more",4 years old,5k-10k Employees (India)
4,Hetero Drugs,3.9,(2.6k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 33 more",29 years old,1k-5k Employees (India)
5,LG Electronics,4.0,(2.4k Reviews),Public,"Seoul,Seoul + 189 more",64 years old,10k-50k Employees (India)
6,L&T Financial Se...,4.0,(2.3k Reviews),Public,"Mumbai,Maharashtra + 392 more",28 years old,10k-50k Employees (India)
7,KEC Internationa...,4.1,(2.3k Reviews),Public,"Mumbai,Maharashtra + 211 more",77 years old,5k-10k Employees (India)
8,Motherson Sumi S...,3.9,(3.7k Reviews),Public,"Noida,Uttar Pradesh + 60 more",36 years old,5k-10k Employees (India)
9,Cholamandalam In...,4.2,(2.3k Reviews),Private,"Chennai,Tamil Nadu + 486 more",44 years old,5k-10k Employees (India)
10,Sodexo,4.1,(2.4k Reviews),Private,Issy Les Moulineaux + 110 more,14 years old,5k-10k Employees (India)
11,GlobalLogic,4.0,(2.3k Reviews),Private,"San Jose,California + 25 more",22 years old,1k-5k Employees (India)
12,Muthoot Finance,3.6,(2.3k Reviews),Public,"Kochi/Cochin,Kerala + 422 more",83 years old,10k-50k Employees (India)
13,Abbott Healthcar...,4.1,(4.4k Reviews),Public,"Illinois City,Illinois + 148 more",31 years old,10k-50k Employees (India)
14,Thermax,4.2,(2.5k Reviews),Public,"Pune,Maharashtra + 128 more",42 years old,1k-5k Employees (India)
15,Subros,4.0,(2.2k Reviews),Public,"Noida,Uttar Pradesh + 36 more",37 years old,1k-5k Employees (India)
16,Intas Pharmaceut...,4.3,(2.2k Reviews),Private,"Ahmedabad,Gujrat + 100 more",22 years old,10k-50k Employees (India)
17,Virtusa Consulti...,3.9,(2.3k Reviews),Private,"Southborough,Massachusetts + 23 more",26 years old,5k-10k Employees (India)
18,Swiggy,4.1,(2.4k Reviews),Private,"Bangalore,Karnataka + 140 more",8 years old,10k-50k Employees (India)
19,Hindustan Coca C...,4.4,(2.1k Reviews),Private,Bangalore + 169 more,25 years old,5k-10k Employees (India)
20,Capgemini Techno...,4.1,(2.1k Reviews),Bengaluru/Bangalore + 23 more,,,
21,Optum,4.1,(2.1k Reviews),Private,Minnesota + 20 more,45 years old,10k-50k Employees (India)
22,Automatic Data P...,4.2,(2.1k Reviews),New Jersey + 11 more,73 years old,1k-5k Employees (India),
23,Atos,3.9,(8.1k Reviews),Private,"Vilnius,Vilniaus Apskritis + 31 more",25 years old,10k-50k Employees (India)
24,VE Commercial Ve...,4.0,(2.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 104 more",14 years old,1k-5k Employees (India)
25,Varun Beverages,4.0,(2.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 198 more",27 years old,10k-50k Employees (India)
26,Macleods Pharmac...,3.9,(2.1k Reviews),Public,"Mumbai,Maharashtra + 76 more",36 years old,5k-10k Employees (India)
27,Simplex Infrastr...,3.6,(2.3k Reviews),Public,"Kolkata,West Bengal + 125 more",98 years old,1k-5k Employees (India)
28,Wipro Enterprise...,3.9,(5.1k Reviews),Bangalore + 67 more,77 years old,1 Lakh+ Employees (India),
29,Muthoot Group,3.6,(4.8k Reviews),Public,"Wedel,Schleswig-holstein + 331 more",135 years old,1k-5k Employees (India)
0,NatWest Group,4.1,(2.2k Reviews),Government,Gurgaon/Gurugram + 18 more,10k-50k Employees (India),
1,Gati kwe,4.2,(2.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 144 more",10 years old,5k-10k Employees (India)
2,Randstad,4.1,(2.1k Reviews),Private,"Chennai,Tamil Nadu + 206 more",30 years old,1k-5k Employees (India)
3,Indian Air Force,4.6,(2.1k Reviews),Private,"New Delhi,Delhi + 99 more",90 years old,1 Lakh+ Employees (India)
4,Alembic Pharmace...,4.1,(2.1k Reviews),Public,"Vadodara/Baroda,Gujrat + 118 more",115 years old,10k-50k Employees (India)
5,American Express,4.4,(2.1k Reviews),Private,"New York City,New York + 36 more",172 years old,10k-50k Employees (India)
6,Bel,4.2,(2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 34 more",68 years old,5k-10k Employees (India)
7,Shoppers Stop,4.3,(2k Reviews),Public,"Mumbai,Maharashtra + 56 more",31 years old,5k-10k Employees (India)
8,CMS IT Services,3.2,(2k Reviews),Private,"Bangalore,Karnataka + 120 more",8 years old,5k-10k Employees (India)
9,Cgi Group,4.2,(2.1k Reviews),Private,"Montreal,Quebec + 13 more",46 years old,10k-50k Employees (India)
10,Arvind Group,4.1,(2.4k Reviews),Public,"Ahmedabad,Gujrat + 126 more",91 years old,10k-50k Employees (India)
11,Glenmark Pharmac...,4.1,(2k Reviews),Public,"Mumbai,Maharashtra + 114 more",45 years old,10k-50k Employees (India)
12,Alkem Laboratori...,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 120 more",49 years old,10k-50k Employees (India)
13,ABB Group,4.1,(2k Reviews),Public,Zurich + 84 more,21 years old,10k-50k Employees (India)
14,Piramal Capital ...,4.3,(2k Reviews),Mumbai + 229 more,2 years old,5k-10k Employees (India),
15,Pidilite Industr...,4.3,(2.1k Reviews),Public,"Mumbai,Maharashtra + 185 more",63 years old,5k-10k Employees (India)
16,Suzlon Group,4.1,(2k Reviews),Public,"Pune,Maharashtra + 87 more",27 years old,5k-10k Employees (India)
17,DTDC Express,3.9,(2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 192 more",32 years old,5k-10k Employees (India)
18,Deutsche Bank,4.2,(2.2k Reviews),Private,Frankfurt + 28 more,152 years old,10k-50k Employees (India)
19,Havells,4.2,(2.2k Reviews),Public,"Noida,Uttar Pradesh + 129 more",39 years old,5k-10k Employees (India)
20,Honda Motorcycle...,4.2,(2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 171 more",23 years old,1k-5k Employees (India)
21,DCB Bank,4.0,(2k Reviews),Private,"Mumbai,Maharashtra + 247 more",92 years old,5k-10k Employees (India)
22,McDonald's,4.3,(2k Reviews),Private,"Chicago,Illinois + 121 more",67 years old,5k-10k Employees (India)
23,Ipca Laboratorie...,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 103 more",73 years old,10k-50k Employees (India)
24,L&T Technology S...,3.4,(2k Reviews),Public,"Vadodara/Baroda,Gujarat + 24 more",10 years old,10k-50k Employees (India)
25,CARS24,3.7,(2k Reviews),Private,"Gurgaon,Haryana + 130 more",7 years old,5k-10k Employees (India)
26,Reliance Nippon ...,3.9,(1.9k Reviews),Private,"Mumbai,Maharashtra + 390 more",22 years old,10k-50k Employees (India)
27,Standard Charter...,4.1,(5.8k Reviews),Private,London + 57 more,53 years old,10k-50k Employees (India)
28,Lava Internation...,4.2,(1.9k Reviews),Public,"Noida,Uttar Pradesh + 202 more",13 years old,1k-5k Employees (India)
29,Hindalco Industr...,4.3,(2k Reviews),Public,"Mumbai,Maharashtra + 67 more",64 years old,10k-50k Employees (India)
0,Bajaj Electrical...,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 166 more",84 years old,5k-10k Employees (India)
1,Indian Oil Corpo...,4.4,(2.1k Reviews),Private,"Delhi/NCR,Delhi + 185 more",63 years old,10k-50k Employees (India)
2,MRF Tyres,3.7,(2.1k Reviews),Public,"Chennai,Tamil Nadu + 159 more",76 years old,10k-50k Employees (India)
3,Conduent,3.6,(1.9k Reviews),Private,"Florham Park,New Jersey + 18 more",5 years old,5k-10k Employees (India)
4,24/7 Customer,3.6,(1.9k Reviews),Private,"San Jose,California + 21 more",22 years old,5k-10k Employees (India)
5,Maersk,4.4,(2.4k Reviews),Private,Copenhagen + 22 more,118 years old,10k-50k Employees (India)
6,Team Lease,4.0,(1.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 208 more",6 years old,1k-5k Employees (India)
7,Titan Company,4.4,(2.6k Reviews),Public,"Mumbai,Maharashtra + 124 more",4 years old,5k-10k Employees (India)
8,Vishal Mega Mart,3.8,(1.9k Reviews),Private,"Ahmedabad,Gujrat + 252 more",14 years old,10k-50k Employees (India)
9,KocharTech,4.4,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 19 more",27 years old,1k-5k Employees (India)
10,Jindal Steel and...,4.0,(2.2k Reviews),Private,"Delhi/NCR,New Delhi + 93 more",70 years old,5k-10k Employees (India)
11,Future Retail,4.2,(4.6k Reviews),Public,"San Francisco,California + 192 more",35 years old,10k-50k Employees (India)
12,Bank of America,4.4,(3k Reviews),Private,Charlotte + 25 more,24 years old,10k-50k Employees (India)
13,Huawei Technolog...,3.9,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 88 more",20 years old,5k-10k Employees (India)
14,Torrent Pharmace...,4.0,(1.8k Reviews),Public,"Ahmedabad,Gujrat + 88 more",51 years old,10k-50k Employees (India)
