,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
6210,False,/8LhafIrfYQDAv7g5gvRdoKOQ69E.jpg,"[18, 37]",266285,da,The Salvation,"In 1870s America, a peaceful American settler kills his family's murderer which unleashes the fury of a notorious gang leader. His cowardly fellow townspeople then betray him, forcing him to hunt down the outlaws alone.",20.712,/xQsv3OI8UT6s9Rn3C0WxO24bnEx.jpg,2014-05-22,The Salvation,False,6.4,700
6211,False,/rfgcVizKcydtxctXr4C1nFOxScx.jpg,[35],228202,pt,Meu Passado Me Condena: O Filme,"The immature and cheap douche bag Fábio Clóvis marries the pseudo-intellectual Miá and they travel in a cruise to Europe on board of a fancy passenger vessel. Fabio and Miá are invited to have dinner with the wealthy Beto Assunção and his gorgeous wife Laura in a VIP restaurant on the vessel. Soon Fábio discovers that Beto was Miá's boyfriend and Miá learns that Fábio had a crush on Laura that was his classmate. Meanwhile the cynical chamber maid Suzana Mello and her estranged husband, the entertainer Wilson, make a bet that Fábio and Miá will split before the end of the trip and poison their relationship. When the ship arrives in Casablanca, Fábio meets his bothersome childhood friend Cabeça that affects their honeymoon.",5.085,/gWakumkwCwcsnVvAW7I2gCgQpcT.jpg,2013-10-25,Meu Passado Me Condena: O Filme,False,6.4,231
6212,False,/415enqFDHfjW9sA1MpWeuaosMwd.jpg,"[18, 53]",12117,en,Instinct,"In a prison for the criminally insane, deranged anthropologist Ethan Powell is set to be examined by a bright young psychiatrist, Theo Caulder. Driven by ambition and a hunger for the truth, Caulder will eventually risk everything—even put his very life on the line—in a harrowing attempt to understand the bizarre actions of this madman.",16.366,/8EKmzia6awjsqFxgBk5a82aTmb6.jpg,1999-06-04,Instinct,False,6.4,520
6213,False,/gOlMx8kFIIUmYVRIKuLbaLhBJSZ.jpg,"[35, 10751, 10749, 14]",10330,en,Freaky Friday,"Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives.",41.954,/ipKcZ4Up7dp18XpsfYUc9NKZy3g.jpg,2003-08-05,Freaky Friday,False,6.4,3193
6214,False,/h6YrCnP7VVGfEqDo3IxUmL79UY8.jpg,"[12, 28, 80, 53]",8987,en,The River Wild,"While on a family vacation,  rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.",17.583,/mlFa4nZpx5Cxe0K4dhRXpx5LsbJ.jpg,1994-09-30,The River Wild,False,6.4,740
6215,False,/snUdoOV9oQCLYFBKk99POiYpWvj.jpg,"[28, 12, 80, 53]",2207,en,16 Blocks,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",22.359,/p3ygfjYH0r0kNRbglwKNUgagiZR.jpg,2006-03-01,16 Blocks,False,6.4,1667
6216,False,,"[18, 10749]",521127,es,Reinos,"Alejandro, a freshman, and Sofia, who’s doing her thesis, meet in college. They build an asymmetrical relationship: he’s in love while she just wants to see her sexual desires fulfilled.",4.767,/ntauOubYAPmGjTe7Kj7tSjr2iPt.jpg,2018-08-02,Kingdoms,False,6.4,253
6217,False,/vqL1DAd9FbU2CvnG6hLX82bQM0q.jpg,"[35, 10749]",193610,en,The Other Woman,"After discovering her boyfriend is married, Carly soon meets the wife he's been cheating on. And when yet another affair is discovered, all three women team up to plot mutual revenge on the three-timing SOB.",24.124,/yHnbb6z8REuFIyBLT2Nj3MX54dY.jpg,2014-04-16,The Other Woman,False,6.4,3206
6218,False,/pxcPddiWo08VDZMszDekH2DSBXz.jpg,"[35, 80, 18, 10749]",8952,en,I Love You Phillip Morris,"Steve Russell is a small-town cop. Bored with his bland lifestyle, Russell turns to fraud as a means of shaking things up. Before long, Russell's criminal antics have landed him behind bars, where he encounters the charismatic Phillip Morris. Smitten, Russell devotes his entire life to being with Morris regardless of the consequences.",16.135,/qtAuWLGQ7N4PNQ6boZeqqoUY2l9.jpg,2009-01-18,I Love You Phillip Morris,False,6.4,1392
6219,False,/xbGROemZqyVYrIlMOHKqmV2qmG0.jpg,"[35, 80]",8491,en,Weekend at Bernie's,"Two friends are invited for a weekend to a luxury island with their boss. The boss gets killed and nobody seems to notice, except for the two friends. In order not to become suspects of murder they treat the body as a puppet and make people believe he's still alive. The killer wants to do his job so when he is informed that the stiff is still alive he's got to shoot him again, and again, and again.",16.804,/a5FcWYJemR3jR8BrYihEorWRCDr.jpg,1989-07-05,Weekend at Bernie's,False,6.4,832
